日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2018-01-03,09:30:00,股票,招商轮船(601872.XSHG),买,市价单,11400股,4.46,50844,11400股,-,0,12.71,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,中煤能源(601898.XSHG),买,市价单,8700股,5.81,50547,8700股,-,0,12.64,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,交通银行(601328.XSHG),买,市价单,8100股,6.27,50787,8100股,-,0,12.7,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,中信银行(601998.XSHG),买,市价单,8100股,6.29,50949,8100股,-,0,12.74,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,国投电力(600886.XSHG),买,市价单,6800股,7.43,50524,6800股,-,0,12.63,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,杭州银行(600926.XSHG),买,市价单,3700股,11.66,43142,3700股,-,0,10.79,全部成交,2018-01-03 09:30:00
2018-01-03,09:30:00,股票,大冶特钢(000708.XSHE),买,市价单,200股,11.65,2330,200股,-,0,5,全部成交,2018-01-03 09:30:00
2018-01-04,09:30:00,股票,光大银行(601818.XSHG),买,市价单,100股,4.11,411,100股,-,0,5,全部成交,2018-01-04 09:30:00
2018-01-09,09:30:00,股票,包钢股份(600010.XSHG),买,市价单,100股,2.54,254,100股,-,0,5,全部成交,2018-01-09 09:30:00
2018-01-12,09:30:00,股票,招商轮船(601872.XSHG),卖,市价单,-11400股,4.56,-51984,-11400股,-,1140,64.98,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,中煤能源(601898.XSHG),卖,市价单,-8700股,6.01,-52287,-8700股,-,1740,65.36,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,交通银行(601328.XSHG),卖,市价单,-8100股,6.35,-51435,-8100股,-,648,64.29,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,中信银行(601998.XSHG),卖,市价单,-8100股,6.69,-54189,-8100股,-,3240,67.74,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,国投电力(600886.XSHG),卖,市价单,-6800股,7.38,-50184,-6800股,-,-340,62.73,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,杭州银行(600926.XSHG),卖,市价单,-3700股,11.73,-43401,-3700股,-,259,54.25,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,大冶特钢(000708.XSHE),卖,市价单,-200股,11.58,-2316,-200股,-,-14,7.32,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,机器人(300024.XSHE),买,市价单,2700股,19.22,51894,2700股,-,0,12.97,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,昆仑万维(300418.XSHE),买,市价单,2300股,22.09,50807,2300股,-,0,12.7,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,用友网络(600588.XSHG),买,市价单,2300股,22.44,51612,2300股,-,0,12.9,全部成交,2018-01-12 09:30:00
2018-01-12,09:30:00,股票,科大讯飞(002230.XSHE),买,市价单,700股,66.9,46830,700股,-,0,11.71,全部成交,2018-01-12 09:30:00
2018-01-15,09:30:00,股票,光大银行(601818.XSHG),卖,市价单,-100股,4.16,-416,-100股,-,5,5.42,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,机器人(300024.XSHE),卖,市价单,-2700股,18.8,-50760,-2700股,-,-1134,63.45,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,昆仑万维(300418.XSHE),卖,市价单,-2300股,21.31,-49013,-2300股,-,-1794,61.27,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,科大讯飞(002230.XSHE),卖,市价单,-700股,65.1,-45570,-700股,-,-1260,56.96,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,扬杰科技(300373.XSHE),买,市价单,2000股,25.54,51080,2000股,-,0,12.77,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,中金黄金(600489.XSHG),买,市价单,5000股,10.14,50700,5000股,-,0,12.68,全部成交,2018-01-15 09:30:00
2018-01-15,09:30:00,股票,复星医药(600196.XSHG),买,市价单,1100股,45.53,50083,1100股,-,0,12.52,全部成交,2018-01-15 09:30:00
2018-01-16,09:30:00,股票,包钢股份(600010.XSHG),卖,市价单,-100股,2.43,-243,-100股,-,-11,5.24,全部成交,2018-01-16 09:30:00
2018-01-16,09:30:00,股票,圣邦股份(300661.XSHE),买,市价单,600股,76.4,45840,600股,-,0,11.46,全部成交,2018-01-16 09:30:00
2018-01-16,09:30:00,股票,北方华创(002371.XSHE),买,市价单,1400股,33.3,46620,1400股,-,0,11.65,全部成交,2018-01-16 09:30:00
2018-01-16,09:30:00,股票,紫光国芯(002049.XSHE),买,市价单,100股,40.39,4039,100股,-,0,5,全部成交,2018-01-16 09:30:00
2018-01-17,09:30:00,股票,用友网络(600588.XSHG),卖,市价单,-2300股,21.65,-49795,-2300股,-,-1817,62.24,全部成交,2018-01-17 09:30:00
2018-01-17,09:30:00,股票,扬杰科技(300373.XSHE),卖,市价单,-2000股,24.7,-49400,-2000股,-,-1680,61.75,全部成交,2018-01-17 09:30:00
2018-01-17,09:30:00,股票,江粉磁材(002600.XSHE),买,市价单,6700股,7.46,49982,6700股,-,0,12.5,全部成交,2018-01-17 09:30:00
2018-01-17,09:30:00,股票,赣锋锂业(002460.XSHE),买,市价单,700股,60.5,42350,700股,-,0,10.59,全部成交,2018-01-17 09:30:00
2018-01-17,09:30:00,股票,扬杰科技(300373.XSHE),买,市价单,300股,24.7,7410,300股,-,0,5,全部成交,2018-01-17 09:30:00
2018-01-17,09:30:00,股票,中国核电(601985.XSHG),买,市价单,100股,7.48,748,100股,-,0,5,全部成交,2018-01-17 09:30:00
2018-01-18,09:30:00,股票,赣锋锂业(002460.XSHE),卖,市价单,-700股,58.51,-40957,-700股,-,-1393,51.2,全部成交,2018-01-18 09:30:00
2018-01-18,09:30:00,股票,长电科技(600584.XSHG),买,市价单,2100股,18.5,38850,2100股,-,0,9.71,全部成交,2018-01-18 09:30:00
2018-01-18,09:30:00,股票,华能水电(600025.XSHG),买,市价单,400股,5.03,2012,400股,-,0,5,全部成交,2018-01-18 09:30:00
2018-01-19,09:30:00,股票,中金黄金(600489.XSHG),卖,市价单,-5000股,9.9,-49500,-5000股,-,-1200,61.88,全部成交,2018-01-19 09:30:00
2018-01-19,09:30:00,股票,复星医药(600196.XSHG),卖,市价单,-1100股,44,-48400,-1100股,-,-1683,60.5,全部成交,2018-01-19 09:30:00
2018-01-19,09:30:00,股票,浪潮信息(000977.XSHE),买,市价单,4400股,16.97,74668,4400股,-,0,18.67,全部成交,2018-01-19 09:30:00
2018-01-19,09:30:00,股票,中天科技(600522.XSHG),买,市价单,1700股,12.65,21505,1700股,-,0,5.38,全部成交,2018-01-19 09:30:00
2018-01-19,09:30:00,股票,中航飞机(000768.XSHE),买,市价单,100股,15.63,1563,100股,-,0,5,全部成交,2018-01-19 09:30:00
2018-01-23,09:30:00,股票,华能水电(600025.XSHG),卖,市价单,-400股,4.84,-1936,-400股,-,-76,6.94,全部成交,2018-01-23 09:30:00
2018-01-23,09:30:00,股票,光线传媒(300251.XSHE),买,市价单,100股,11.36,1136,100股,-,0,5,全部成交,2018-01-23 09:30:00
2018-01-25,09:30:00,股票,圣邦股份(300661.XSHE),卖,市价单,-600股,84.88,-50928,-600股,-,5088,63.66,全部成交,2018-01-25 09:30:00
2018-01-25,09:30:00,股票,北方华创(002371.XSHE),卖,市价单,-1400股,35.15,-49210,-1400股,-,2590,61.51,全部成交,2018-01-25 09:30:00
2018-01-25,09:30:00,股票,紫光国芯(002049.XSHE),卖,市价单,-100股,42.5,-4250,-100股,-,211,9.25,全部成交,2018-01-25 09:30:00
2018-01-25,09:30:00,股票,信维通信(300136.XSHE),买,市价单,2200股,35.18,77396,2200股,-,0,19.35,全部成交,2018-01-25 09:30:00
2018-01-25,09:30:00,股票,新华保险(601336.XSHG),买,市价单,400股,59.86,23944,400股,-,0,5.99,全部成交,2018-01-25 09:30:00
2018-01-25,09:30:00,股票,中远海控(601919.XSHG),买,市价单,500股,7.15,3575,500股,-,0,5,全部成交,2018-01-25 09:30:00
2018-01-26,09:30:00,股票,江粉磁材(002600.XSHE),卖,市价单,-6700股,7.46,-49982,-6700股,-,0,62.48,全部成交,2018-01-26 09:30:00
2018-01-26,09:30:00,股票,扬杰科技(300373.XSHE),卖,市价单,-300股,25.93,-7779,-300股,-,369,12.78,全部成交,2018-01-26 09:30:00
2018-01-26,09:30:00,股票,中国核电(601985.XSHG),卖,市价单,-100股,7.66,-766,-100股,-,18,5.77,全部成交,2018-01-26 09:30:00
2018-01-26,09:30:00,股票,胜宏科技(300476.XSHE),买,市价单,2400股,22.42,53808,2400股,-,0,13.45,全部成交,2018-01-26 09:30:00
2018-01-26,09:30:00,股票,包钢股份(600010.XSHG),买,市价单,1800股,2.53,4554,1800股,-,0,5,全部成交,2018-01-26 09:30:00
2018-01-26,09:30:00,股票,铜陵有色(000630.XSHE),买,市价单,100股,2.88,288,100股,-,0,5,全部成交,2018-01-26 09:30:00
2018-01-29,09:30:00,股票,长电科技(600584.XSHG),卖,市价单,-2100股,19.9,-41790,-2100股,-,2940,52.24,全部成交,2018-01-29 09:30:00
2018-01-29,09:30:00,股票,信维通信(300136.XSHE),卖,市价单,-2200股,33,-72600,-2200股,-,-4796,90.75,全部成交,2018-01-29 09:30:00
2018-01-29,09:30:00,股票,南方航空(600029.XSHG),买,市价单,6700股,11.33,75911,6700股,-,0,18.98,全部成交,2018-01-29 09:30:00
2018-01-29,09:30:00,股票,光启技术(002625.XSHE),买,市价单,1400股,25.76,36064,1400股,-,0,9.02,全部成交,2018-01-29 09:30:00
2018-01-30,09:30:00,股票,浪潮信息(000977.XSHE),卖,市价单,-4400股,16.73,-73612,-4400股,-,-1056,92.01,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,中天科技(600522.XSHG),卖,市价单,-1700股,11.9,-20230,-1700股,-,-1275,25.29,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,中航飞机(000768.XSHE),卖,市价单,-100股,16.1,-1610,-100股,-,47,6.61,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,新华保险(601336.XSHG),卖,市价单,-400股,58.14,-23256,-400股,-,-688,29.07,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,胜宏科技(300476.XSHE),卖,市价单,-2400股,21.55,-51720,-2400股,-,-2088,64.65,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,光启技术(002625.XSHE),卖,市价单,-1400股,25.2,-35280,-1400股,-,-784,44.1,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,天孚通信(300394.XSHE),买,市价单,100股,19.7,1970,100股,-,0,5,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,藏格控股(000408.XSHE),买,市价单,4600股,16.18,74428,4600股,-,0,18.61,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,信维通信(300136.XSHE),买,市价单,2200股,33.28,73216,2200股,-,0,18.3,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,胜宏科技(300476.XSHE),买,市价单,2500股,21.55,53875,2500股,-,0,13.47,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,中兴通讯(000063.XSHE),买,市价单,100股,31.22,3122,100股,-,0,5,全部成交,2018-01-30 09:30:00
2018-01-30,09:30:00,股票,西山煤电(000983.XSHE),买,市价单,100股,10.56,1056,100股,-,0,5,全部成交,2018-01-30 09:30:00
2018-02-01,09:30:00,股票,光线传媒(300251.XSHE),卖,市价单,-100股,12.92,-1292,-100股,-,156,6.29,全部成交,2018-02-01 09:30:00
2018-02-01,09:30:00,股票,天孚通信(300394.XSHE),卖,市价单,-100股,18.15,-1815,-100股,-,-155,6.82,全部成交,2018-02-01 09:30:00
2018-02-01,09:30:00,股票,中兴通讯(000063.XSHE),卖,市价单,-100股,30,-3000,-100股,-,-122,8,全部成交,2018-02-01 09:30:00
2018-02-01,09:30:00,股票,沪电股份(002463.XSHE),买,市价单,1300股,4.41,5733,1300股,-,0,5,全部成交,2018-02-01 09:30:00
2018-02-02,09:30:00,股票,中远海控(601919.XSHG),卖,市价单,-500股,6.63,-3315,-500股,-,-260,8.32,全部成交,2018-02-02 09:30:00
2018-02-02,09:30:00,股票,包钢股份(600010.XSHG),卖,市价单,-1800股,2.43,-4374,-1800股,-,-180,9.37,全部成交,2018-02-02 09:30:00
2018-02-02,09:30:00,股票,铜陵有色(000630.XSHE),卖,市价单,-100股,2.8,-280,-100股,-,-8,5.28,全部成交,2018-02-02 09:30:00
2018-02-02,09:30:00,股票,胜宏科技(300476.XSHE),卖,市价单,-2500股,20.52,-51300,-2500股,-,-2575,64.12,全部成交,2018-02-02 09:30:00
2018-02-02,09:30:00,股票,沪电股份(002463.XSHE),卖,市价单,-1300股,4.23,-5499,-1300股,-,-234,10.5,全部成交,2018-02-02 09:30:00
2018-02-02,09:30:00,股票,天孚通信(300394.XSHE),买,市价单,3600股,17.1,61560,3600股,-,0,15.39,全部成交,2018-02-02 09:30:00
2018-02-02,09:30:00,股票,云铝股份(000807.XSHE),买,市价单,300股,8.51,2553,300股,-,0,5,全部成交,2018-02-02 09:30:00
2018-02-02,09:30:00,股票,沪电股份(002463.XSHE),买,市价单,200股,4.23,846,200股,-,0,5,全部成交,2018-02-02 09:30:00
2018-02-06,09:30:00,股票,天孚通信(300394.XSHE),卖,市价单,-3600股,16.32,-58752,-3600股,-,-2808,73.44,全部成交,2018-02-06 09:30:00
2018-02-06,09:30:00,股票,国轩高科(002074.XSHE),买,市价单,2700股,18.18,49086,2700股,-,0,12.27,全部成交,2018-02-06 09:30:00
2018-02-06,09:30:00,股票,北京君正(300223.XSHE),买,市价单,300股,24,7200,300股,-,0,5,全部成交,2018-02-06 09:30:00
2018-02-06,09:30:00,股票,菲利华(300395.XSHE),买,市价单,100股,12.96,1296,100股,-,0,5,全部成交,2018-02-06 09:30:00
2018-02-06,09:30:00,股票,通威股份(600438.XSHG),买,市价单,100股,9.8,980,100股,-,0,5,全部成交,2018-02-06 09:30:00
2018-02-07,09:30:00,股票,南方航空(600029.XSHG),卖,市价单,-6700股,12.86,-86162,-6700股,-,10251,107.7,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,藏格控股(000408.XSHE),卖,市价单,-4600股,15.8,-72680,-4600股,-,-1748,90.85,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,云铝股份(000807.XSHE),卖,市价单,-300股,8.3,-2490,-300股,-,-63,7.49,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,国轩高科(002074.XSHE),卖,市价单,-2700股,17.36,-46872,-2700股,-,-2214,58.59,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,北京君正(300223.XSHE),卖,市价单,-300股,22.86,-6858,-300股,-,-342,11.86,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,通威股份(600438.XSHG),卖,市价单,-100股,9.6,-960,-100股,-,-20,5.96,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,国轩高科(002074.XSHE),买,市价单,2900股,17.36,50344,2900股,-,0,12.59,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,北京君正(300223.XSHE),买,市价单,2200股,22.86,50292,2200股,-,0,12.57,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,圆通速递(600233.XSHG),买,市价单,3400股,14.8,50320,3400股,-,0,12.58,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,山西汾酒(600809.XSHG),买,市价单,900股,53.98,48582,900股,-,0,12.15,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,长川科技(300604.XSHE),买,市价单,400股,36.43,14572,400股,-,0,5,全部成交,2018-02-07 09:30:00
2018-02-07,09:30:00,股票,普丽盛(300442.XSHE),买,市价单,100股,16.9,1690,100股,-,0,5,全部成交,2018-02-07 09:30:00
2018-02-08,09:30:00,股票,信维通信(300136.XSHE),卖,市价单,-2200股,33.39,-73458,-2200股,-,242,91.82,全部成交,2018-02-08 09:30:00
2018-02-08,09:30:00,股票,西山煤电(000983.XSHE),卖,市价单,-100股,10.5,-1050,-100股,-,-6,6.05,全部成交,2018-02-08 09:30:00
2018-02-08,09:30:00,股票,沪电股份(002463.XSHE),卖,市价单,-200股,4.1,-820,-200股,-,-26,5.82,全部成交,2018-02-08 09:30:00
2018-02-08,09:30:00,股票,山西汾酒(600809.XSHG),卖,市价单,-900股,52,-46800,-900股,-,-1782,58.5,全部成交,2018-02-08 09:30:00
2018-02-08,09:30:00,股票,天孚通信(300394.XSHE),买,市价单,3100股,15.8,48980,3100股,-,0,12.24,全部成交,2018-02-08 09:30:00
2018-02-08,09:30:00,股票,晶盛机电(300316.XSHE),买,市价单,3400股,14.5,49300,3400股,-,0,12.32,全部成交,2018-02-08 09:30:00
2018-02-08,09:30:00,股票,北方华创(002371.XSHE),买,市价单,800股,25.89,20712,800股,-,0,5.18,全部成交,2018-02-08 09:30:00
2018-02-08,09:30:00,股票,中航飞机(000768.XSHE),买,市价单,200股,12.95,2590,200股,-,0,5,全部成交,2018-02-08 09:30:00
2018-02-09,09:30:00,股票,圆通速递(600233.XSHG),卖,市价单,-3400股,14.5,-49300,-3400股,-,-1020,61.63,全部成交,2018-02-09 09:30:00
2018-02-09,09:30:00,股票,万科A(000002.XSHE),买,市价单,1400股,31.5,44100,1400股,-,0,11.02,全部成交,2018-02-09 09:30:00
2018-02-09,09:30:00,股票,中航沈飞(600760.XSHG),买,市价单,200股,23.51,4702,200股,-,0,5,全部成交,2018-02-09 09:30:00
2018-02-12,09:30:00,股票,中航沈飞(600760.XSHG),卖,市价单,-200股,23.01,-4602,-200股,-,-100,9.6,全部成交,2018-02-12 09:30:00
2018-02-12,09:30:00,股票,招商公路(001965.XSHE),买,市价单,500股,9.78,4890,500股,-,0,5,全部成交,2018-02-12 09:30:00
2018-02-12,09:30:00,股票,南山铝业(600219.XSHG),买,市价单,100股,3.17,317,100股,-,0,5,全部成交,2018-02-12 09:30:00
2018-02-22,09:30:00,股票,菲利华(300395.XSHE),卖,市价单,-100股,13.49,-1349,-100股,-,53,6.35,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,国轩高科(002074.XSHE),卖,市价单,-2900股,20.33,-58957,-2900股,-,8613,73.7,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,北京君正(300223.XSHE),卖,市价单,-2200股,24.4,-53680,-2200股,-,3388,67.1,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,长川科技(300604.XSHE),卖,市价单,-400股,40.5,-16200,-400股,-,1628,21.2,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,普丽盛(300442.XSHE),卖,市价单,-100股,17.84,-1784,-100股,-,94,6.78,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,天孚通信(300394.XSHE),卖,市价单,-3100股,16.02,-49662,-3100股,-,682,62.08,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,晶盛机电(300316.XSHE),卖,市价单,-3400股,16.79,-57086,-3400股,-,7786,71.36,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,北方华创(002371.XSHE),卖,市价单,-800股,28.38,-22704,-800股,-,1992,28.38,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,中航飞机(000768.XSHE),卖,市价单,-200股,13.53,-2706,-200股,-,116,7.71,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,万科A(000002.XSHE),卖,市价单,-1400股,34,-47600,-1400股,-,3500,59.5,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,招商公路(001965.XSHE),卖,市价单,-500股,9.6,-4800,-500股,-,-90,9.8,全部成交,2018-02-22 09:30:00
2018-02-22,09:30:00,股票,南山铝业(600219.XSHG),卖,市价单,-100股,3.35,-335,-100股,-,18,5.34,全部成交,2018-02-22 09:30:00
2018-02-26,09:30:00,股票,洛阳钼业(603993.XSHG),买,市价单,6600股,8.06,53196,6600股,-,0,13.3,全部成交,2018-02-26 09:30:00
2018-02-26,09:30:00,股票,光启技术(002625.XSHE),买,市价单,2100股,24.5,51450,2100股,-,0,12.86,全部成交,2018-02-26 09:30:00
2018-02-27,09:30:00,股票,TCL集团(000100.XSHE),买,市价单,14800股,3.66,54168,14800股,-,0,13.54,全部成交,2018-02-27 09:30:00
2018-02-27,09:30:00,股票,沪电股份(002463.XSHE),买,市价单,11900股,4.57,54383,11900股,-,0,13.6,全部成交,2018-02-27 09:30:00
2018-02-27,09:30:00,股票,欣旺达(300207.XSHE),买,市价单,5500股,9.8,53900,5500股,-,0,13.48,全部成交,2018-02-27 09:30:00
2018-02-27,09:30:00,股票,巨化股份(600160.XSHG),买,市价单,3800股,12.2,46360,3800股,-,0,11.59,全部成交,2018-02-27 09:30:00
2018-02-27,09:30:00,股票,中天科技(600522.XSHG),买,市价单,200股,12.51,2502,200股,-,0,5,全部成交,2018-02-27 09:30:00
2018-03-01,09:30:00,股票,中国铝业(601600.XSHG),买,市价单,100股,5.45,545,100股,-,0,5,全部成交,2018-03-01 09:30:00
2018-03-02,09:30:00,股票,中国铝业(601600.XSHG),卖,市价单,-100股,5.28,-528,-100股,-,-17,5.53,全部成交,2018-03-02 09:30:00
2018-03-02,09:30:00,股票,南山铝业(600219.XSHG),买,市价单,100股,3.4,340,100股,-,0,5,全部成交,2018-03-02 09:30:00
2018-03-06,09:30:00,股票,南山铝业(600219.XSHG),卖,市价单,-100股,3.33,-333,-100股,-,-7,5.33,全部成交,2018-03-06 09:30:00
2018-03-07,09:30:00,股票,洛阳钼业(603993.XSHG),卖,市价单,-6600股,8.88,-58608,-6600股,-,5412,73.26,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,光启技术(002625.XSHE),卖,市价单,-2100股,25.8,-54180,-2100股,-,2730,67.72,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,南山铝业(600219.XSHG),买,市价单,100股,3.42,342,100股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,京东方A(000725.XSHE),买,市价单,1900股,5.78,10982,1900股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,云铝股份(000807.XSHE),买,市价单,1300股,8.68,11284,1300股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,招商公路(001965.XSHE),买,市价单,1000股,10.52,10520,1000股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,国信证券(002736.XSHE),买,市价单,1000股,11.1,11100,1000股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,浙商证券(601878.XSHG),买,市价单,800股,13.7,10960,800股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,上海医药(601607.XSHG),买,市价单,500股,22.67,11335,500股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,海大集团(002311.XSHE),买,市价单,500股,22.75,11375,500股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,同仁堂(600085.XSHG),买,市价单,300股,32.55,9765,300股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,新和成(002001.XSHE),买,市价单,200股,40,8000,200股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-07,09:30:00,股票,合盛硅业(603260.XSHG),买,市价单,100股,61.35,6135,100股,-,0,5,全部成交,2018-03-07 09:30:00
2018-03-08,09:30:00,股票,TCL集团(000100.XSHE),卖,市价单,-14800股,3.76,-55648,-14800股,-,1480,69.56,全部成交,2018-03-08 09:30:00
2018-03-08,09:30:00,股票,沪电股份(002463.XSHE),卖,市价单,-11900股,4.66,-55454,-11900股,-,1071,69.32,全部成交,2018-03-08 09:30:00
2018-03-08,09:30:00,股票,欣旺达(300207.XSHE),卖,市价单,-5500股,10.82,-59510,-5500股,-,5610,74.39,全部成交,2018-03-08 09:30:00
2018-03-08,09:30:00,股票,巨化股份(600160.XSHG),卖,市价单,-3800股,12.56,-47728,-3800股,-,1368,59.66,全部成交,2018-03-08 09:30:00
2018-03-08,09:30:00,股票,中天科技(600522.XSHG),卖,市价单,-200股,12.75,-2550,-200股,-,48,7.55,全部成交,2018-03-08 09:30:00
2018-03-08,09:30:00,股票,京东方A(000725.XSHE),卖,市价单,-1900股,5.65,-10735,-1900股,-,-247,15.74,全部成交,2018-03-08 09:30:00
2018-03-08,09:30:00,股票,云铝股份(000807.XSHE),卖,市价单,-1300股,8.5,-11050,-1300股,-,-234,16.05,全部成交,2018-03-08 09:30:00
2018-03-08,09:30:00,股票,宁波银行(002142.XSHE),买,市价单,500股,20.22,10110,500股,-,0,5,全部成交,2018-03-08 09:30:00
2018-03-09,09:30:00,股票,紫金矿业(601899.XSHG),买,市价单,2300股,4.78,10994,2300股,-,0,5,全部成交,2018-03-09 09:30:00
2018-03-09,09:30:00,股票,中远海控(601919.XSHG),买,市价单,1700股,6.3,10710,1700股,-,0,5,全部成交,2018-03-09 09:30:00
2018-03-09,09:30:00,股票,北新建材(000786.XSHE),买,市价单,400股,23.96,9584,400股,-,0,5,全部成交,2018-03-09 09:30:00
2018-03-12,09:30:00,股票,方正证券(601901.XSHG),买,市价单,8500股,6.64,56440,8500股,-,0,14.11,全部成交,2018-03-12 09:30:00
2018-03-12,09:30:00,股票,中国银河(601881.XSHG),买,市价单,5400股,10.49,56646,5400股,-,0,14.16,全部成交,2018-03-12 09:30:00
2018-03-12,09:30:00,股票,东方财富(300059.XSHE),买,市价单,3700股,15.1,55870,3700股,-,0,13.97,全部成交,2018-03-12 09:30:00
2018-03-12,09:30:00,股票,温氏股份(300498.XSHE),买,市价单,1800股,22.51,40518,1800股,-,0,10.13,全部成交,2018-03-12 09:30:00
2018-03-13,09:30:00,股票,中国化学(601117.XSHG),买,市价单,300股,6.87,2061,300股,-,0,5,全部成交,2018-03-13 09:30:00
2018-03-14,09:30:00,股票,新和成(002001.XSHE),卖,市价单,-200股,37.95,-7590,-200股,-,-410,12.59,全部成交,2018-03-14 09:30:00
2018-03-14,09:30:00,股票,宁波银行(002142.XSHE),卖,市价单,-500股,19.81,-9905,-500股,-,-205,14.9,全部成交,2018-03-14 09:30:00
2018-03-15,09:30:00,股票,招商公路(001965.XSHE),卖,市价单,-1000股,10.18,-10180,-1000股,-,-340,15.18,全部成交,2018-03-15 09:30:00
2018-03-15,09:30:00,股票,方正证券(601901.XSHG),卖,市价单,-8500股,6.46,-54910,-8500股,-,-1530,68.64,全部成交,2018-03-15 09:30:00
2018-03-15,09:30:00,股票,中国银河(601881.XSHG),卖,市价单,-5400股,10.23,-55242,-5400股,-,-1404,69.05,全部成交,2018-03-15 09:30:00
2018-03-15,09:30:00,股票,泸州老窖(000568.XSHE),买,市价单,200股,60.14,12028,200股,-,0,5,全部成交,2018-03-15 09:30:00
2018-03-16,09:30:00,股票,南山铝业(600219.XSHG),卖,市价单,-100股,3.39,-339,-100股,-,-3,5.34,全部成交,2018-03-16 09:30:00
2018-03-16,09:30:00,股票,国信证券(002736.XSHE),卖,市价单,-1000股,10.97,-10970,-1000股,-,-130,15.97,全部成交,2018-03-16 09:30:00
2018-03-16,09:30:00,股票,浙商证券(601878.XSHG),卖,市价单,-800股,13.36,-10688,-800股,-,-272,15.69,全部成交,2018-03-16 09:30:00
