时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2018-01-02 16:00:00,1.4,0,0,0,0,0,-1.38
2018-01-03 16:00:00,2,0.62,1853.8,0,299123,0,-1.35
2018-01-04 16:00:00,2.43,1.79,3521,0,411,0,-0.62
2018-01-05 16:00:00,2.68,1.87,247,0,0,0,-0.79
2018-01-08 16:00:00,3.21,2.79,2746,0,0,0,-0.41
2018-01-09 16:00:00,3.93,1.84,0,-2862,254,0,-2.01
2018-01-10 16:00:00,4.39,2.39,1654,0,0,0,-1.92
2018-01-11 16:00:00,4.34,2.27,0,-360,0,0,-1.98
2018-01-12 16:00:00,4.82,1.3,0,-2884.95,201143,-305796,-3.36
2018-01-15 16:00:00,4.82,-0.05,0,-4060.06,151863,-145759,-4.65
2018-01-16 16:00:00,5.65,-0.22,0,-511.36,96499,-243,-5.56
2018-01-17 16:00:00,5.39,-0.43,0,-634.08,100490,-99195,-5.52
2018-01-18 16:00:00,5.97,0.44,2611.09,0,40862,-40957,-5.22
2018-01-19 16:00:00,6.32,-0.6,0,-3135.42,97736,-97900,-6.51
2018-01-22 16:00:00,7.59,0.31,2749,0,0,0,-6.77
2018-01-23 16:00:00,8.73,0.53,647.06,0,1136,-1936,-7.54
2018-01-24 16:00:00,8.91,3.56,9097,0,0,0,-4.91
2018-01-25 16:00:00,8.29,2.38,0,-3541.76,104915,-104388,-5.46
2018-01-26 16:00:00,8.69,0.6,0,-5337.47,58650,-58527,-7.44
2018-01-29 16:00:00,6.73,-1.51,0,-6332.98,111975,-114390,-7.72
2018-01-30 16:00:00,5.59,-0.11,4190.89,0,207667,-205708,-5.4
2018-01-31 16:00:00,6.08,-0.59,0,-1441,0,0,-6.29
2018-02-01 16:00:00,5.34,-1.25,0,-1967.11,5733,-6107,-6.26
2018-02-02 16:00:00,5.96,0.2,4365.02,0,64959,-64768,-5.44
2018-02-05 16:00:00,6.04,1.18,2914,0,0,0,-4.58
2018-02-06 16:00:00,2.93,-3.82,0,-14985.71,58562,-58752,-6.56
2018-02-07 16:00:00,0.49,-2.16,4966.67,0,215800,-216022,-2.64
2018-02-08 16:00:00,-0.47,1.64,11403.06,0,121582,-122128,2.12
2018-02-09 16:00:00,-4.72,0.57,0,-3203.65,48802,-49300,5.55
2018-02-12 16:00:00,-3.49,4.96,13185.4,0,5207,-4602,8.76
2018-02-13 16:00:00,-2.36,4.37,0,-1789,0,0,6.89
2018-02-14 16:00:00,-1.59,4.09,0,-840,0,0,5.77
2018-02-22 16:00:00,0.54,5.58,4463.71,0,0,-316863,5.01
