日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2018-01-02,,Cash,,,,,300000,,,,,,,,0
2018-01-03,股票,普丽盛(300442.XSHE),多,2300股,0股,21.58,49634,-69,21.61,-,0,-69,2300股,-0.14%,299521.87,16.57%
2018-01-03,股票,上汽集团(600104.XSHG),多,1600股,0股,31.53,50448,-384,31.77,-,0,-384,1600股,-0.76%,299521.87,16.84%
2018-01-03,,Cash,,,,,199439.87,,,,,,,,0
2018-01-04,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.51,49473,-230,21.61,-,0,-161,0股,-0.46%,302200.05,16.37%
2018-01-04,股票,上汽集团(600104.XSHG),多,1600股,1600股,31.63,50608,-224,31.77,-,0,160,0股,-0.44%,302200.05,16.75%
2018-01-04,股票,招商轮船(601872.XSHG),多,11300股,0股,4.63,52319,1695,4.48,-,0,1695,11300股,3.35%,302200.05,17.31%
2018-01-04,股票,中煤能源(601898.XSHG),多,8700股,0股,5.91,51417,1044,5.79,-,0,1044,8700股,2.07%,302200.05,17.01%
2018-01-04,股票,交通银行(601328.XSHG),多,8000股,0股,6.29,50320,-160,6.31,-,0,-160,8000股,-0.32%,302200.05,16.65%
2018-01-04,股票,中信银行(601998.XSHG),多,7500股,0股,6.39,47925,150,6.37,-,0,150,7500股,0.31%,302200.05,15.86%
2018-01-04,,Cash,,,,,138.05,,,,,,,,0
2018-01-05,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.56,49588,-115,21.61,-,0,115,0股,-0.23%,303170.05,16.36%
2018-01-05,股票,上汽集团(600104.XSHG),多,1600股,1600股,31.92,51072,240,31.77,-,0,464,0股,0.47%,303170.05,16.85%
2018-01-05,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.6,51980,1356,4.48,-,0,-339,0股,2.68%,303170.05,17.15%
2018-01-05,股票,中煤能源(601898.XSHG),多,8700股,8700股,5.96,51852,1479,5.79,-,0,435,0股,2.94%,303170.05,17.1%
2018-01-05,股票,交通银行(601328.XSHG),多,8000股,8000股,6.28,50240,-240,6.31,-,0,-80,0股,-0.48%,303170.05,16.57%
2018-01-05,股票,中信银行(601998.XSHG),多,7500股,7500股,6.44,48300,525,6.37,-,0,375,0股,1.1%,303170.05,15.93%
2018-01-05,,Cash,,,,,138.05,,,,,,,,0
2018-01-08,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.56,49588,-115,21.61,-,0,0,0股,-0.23%,306336.05,16.19%
2018-01-08,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.41,51856,1024,31.77,-,0,784,0股,2.01%,306336.05,16.93%
2018-01-08,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.6,51980,1356,4.48,-,0,0,0股,2.68%,306336.05,16.97%
2018-01-08,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.12,53244,2871,5.79,-,0,1392,0股,5.7%,306336.05,17.38%
2018-01-08,股票,交通银行(601328.XSHG),多,8000股,8000股,6.31,50480,0,6.31,-,0,240,0股,0%,306336.05,16.48%
2018-01-08,股票,中信银行(601998.XSHG),多,7500股,7500股,6.54,49050,1275,6.37,-,0,750,0股,2.67%,306336.05,16.01%
2018-01-08,,Cash,,,,,138.05,,,,,,,,0
2018-01-09,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.56,49588,-115,21.61,-,0,0,0股,-0.23%,305277.05,16.24%
2018-01-09,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.44,51904,1072,31.77,-,0,48,0股,2.11%,305277.05,17%
2018-01-09,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.54,51302,678,4.48,-,0,-678,0股,1.34%,305277.05,16.81%
2018-01-09,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.15,53505,3132,5.79,-,0,261,0股,6.22%,305277.05,17.53%
2018-01-09,股票,交通银行(601328.XSHG),多,8000股,8000股,6.28,50240,-240,6.31,-,0,-240,0股,-0.48%,305277.05,16.46%
2018-01-09,股票,中信银行(601998.XSHG),多,7500股,7500股,6.48,48600,825,6.37,-,0,-450,0股,1.73%,305277.05,15.92%
2018-01-09,,Cash,,,,,138.05,,,,,,,,0
2018-01-10,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.03,48369,-1334,21.61,-,0,-1219,0股,-2.68%,307583.05,15.73%
2018-01-10,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.87,54192,3360,31.77,-,0,2288,0股,6.61%,307583.05,17.62%
2018-01-10,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.58,51754,1130,4.48,-,0,452,0股,2.23%,307583.05,16.83%
2018-01-10,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.1,53070,2697,5.79,-,0,-435,0股,5.35%,307583.05,17.25%
2018-01-10,股票,交通银行(601328.XSHG),多,8000股,8000股,6.32,50560,80,6.31,-,0,320,0股,0.16%,307583.05,16.44%
2018-01-10,股票,中信银行(601998.XSHG),多,7500股,7500股,6.6,49500,1725,6.37,-,0,900,0股,3.61%,307583.05,16.09%
2018-01-10,,Cash,,,,,138.05,,,,,,,,0
2018-01-11,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.23,48829,-874,21.61,-,0,460,0股,-1.76%,308223.05,15.84%
2018-01-11,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.83,54128,3296,31.77,-,0,-64,0股,6.48%,308223.05,17.56%
2018-01-11,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.57,51641,1017,4.48,-,0,-113,0股,2.01%,308223.05,16.75%
2018-01-11,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.01,52287,1914,5.79,-,0,-783,0股,3.8%,308223.05,16.96%
2018-01-11,股票,交通银行(601328.XSHG),多,8000股,8000股,6.35,50800,320,6.31,-,0,240,0股,0.63%,308223.05,16.48%
2018-01-11,股票,中信银行(601998.XSHG),多,7500股,7500股,6.72,50400,2625,6.37,-,0,900,0股,5.49%,308223.05,16.35%
2018-01-11,,Cash,,,,,138.05,,,,,,,,0
2018-01-12,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.98,48254,-1449,21.61,-,0,-575,0股,-2.92%,309059.05,15.61%
2018-01-12,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.91,54256,3424,31.77,-,0,128,0股,6.74%,309059.05,17.56%
2018-01-12,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.56,51528,904,4.48,-,0,-113,0股,1.79%,309059.05,16.67%
2018-01-12,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.04,52548,2175,5.79,-,0,261,0股,4.32%,309059.05,17%
2018-01-12,股票,交通银行(601328.XSHG),多,8000股,8000股,6.37,50960,480,6.31,-,0,160,0股,0.95%,309059.05,16.49%
2018-01-12,股票,中信银行(601998.XSHG),多,7500股,7500股,6.85,51375,3600,6.37,-,0,975,0股,7.54%,309059.05,16.62%
2018-01-12,,Cash,,,,,138.05,,,,,,,,0
2018-01-15,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.15,46345,-3358,21.61,-,0,-1909,0股,-6.76%,306830.05,15.1%
2018-01-15,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.5,53600,2768,31.77,-,0,-656,0股,5.45%,306830.05,17.47%
2018-01-15,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.54,51302,678,4.48,-,0,-226,0股,1.34%,306830.05,16.72%
2018-01-15,股票,中煤能源(601898.XSHG),多,8700股,8700股,5.9,51330,957,5.79,-,0,-1218,0股,1.9%,306830.05,16.73%
2018-01-15,股票,交通银行(601328.XSHG),多,8000股,8000股,6.48,51840,1360,6.31,-,0,880,0股,2.69%,306830.05,16.9%
2018-01-15,股票,中信银行(601998.XSHG),多,7500股,7500股,6.97,52275,4500,6.37,-,0,900,0股,9.42%,306830.05,17.04%
2018-01-15,,Cash,,,,,138.05,,,,,,,,0
2018-01-16,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.42,46966,-2737,21.61,-,0,621,0股,-5.51%,307265.05,15.29%
2018-01-16,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.32,51712,880,31.77,-,0,-1888,0股,1.73%,307265.05,16.83%
2018-01-16,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.55,51415,791,4.48,-,0,113,0股,1.56%,307265.05,16.73%
2018-01-16,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.02,52374,2001,5.79,-,0,1044,0股,3.97%,307265.05,17.05%
2018-01-16,股票,交通银行(601328.XSHG),多,8000股,8000股,6.52,52160,1680,6.31,-,0,320,0股,3.33%,307265.05,16.98%
2018-01-16,股票,中信银行(601998.XSHG),多,7500股,7500股,7,52500,4725,6.37,-,0,225,0股,9.89%,307265.05,17.09%
2018-01-16,,Cash,,,,,138.05,,,,,,,,0
2018-01-17,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.62,47426,-2277,21.61,-,0,460,0股,-4.58%,309513.05,15.32%
2018-01-17,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.53,52048,1216,31.77,-,0,336,0股,2.39%,309513.05,16.82%
2018-01-17,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.64,52432,1808,4.48,-,0,1017,0股,3.57%,309513.05,16.94%
2018-01-17,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.12,53244,2871,5.79,-,0,870,0股,5.7%,309513.05,17.2%
2018-01-17,股票,交通银行(601328.XSHG),多,8000股,8000股,6.55,52400,1920,6.31,-,0,240,0股,3.8%,309513.05,16.93%
2018-01-17,股票,中信银行(601998.XSHG),多,7500股,7500股,6.91,51825,4050,6.37,-,0,-675,0股,8.48%,309513.05,16.74%
2018-01-17,,Cash,,,,,138.05,,,,,,,,0
2018-01-18,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.38,46874,-2829,21.61,-,0,-552,0股,-5.69%,311724.05,15.04%
2018-01-18,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.53,52048,1216,31.77,-,0,0,0股,2.39%,311724.05,16.7%
2018-01-18,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.62,52206,1582,4.48,-,0,-226,0股,3.13%,311724.05,16.75%
2018-01-18,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.14,53418,3045,5.79,-,0,174,0股,6.04%,311724.05,17.14%
2018-01-18,股票,交通银行(601328.XSHG),多,8000股,8000股,6.63,53040,2560,6.31,-,0,640,0股,5.07%,311724.05,17.02%
2018-01-18,股票,中信银行(601998.XSHG),多,7500股,7500股,7.2,54000,6225,6.37,-,0,2175,0股,13.03%,311724.05,17.32%
2018-01-18,,Cash,,,,,138.05,,,,,,,,0
2018-01-19,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.32,46736,-2967,21.61,-,0,-138,0股,-5.97%,313165.05,14.92%
2018-01-19,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.83,52528,1696,31.77,-,0,480,0股,3.34%,313165.05,16.77%
2018-01-19,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.64,52432,1808,4.48,-,0,226,0股,3.57%,313165.05,16.74%
2018-01-19,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.13,53331,2958,5.79,-,0,-87,0股,5.87%,313165.05,17.03%
2018-01-19,股票,交通银行(601328.XSHG),多,8000股,8000股,6.75,54000,3520,6.31,-,0,960,0股,6.97%,313165.05,17.24%
2018-01-19,股票,中信银行(601998.XSHG),多,7500股,7500股,7.2,54000,6225,6.37,-,0,0,0股,13.03%,313165.05,17.24%
2018-01-19,,Cash,,,,,138.05,,,,,,,,0
2018-01-22,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.85,47955,-1748,21.61,-,0,1219,0股,-3.52%,314677.05,15.24%
2018-01-22,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.75,54000,3168,31.77,-,0,1472,0股,6.23%,314677.05,17.16%
2018-01-22,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.63,52319,1695,4.48,-,0,-113,0股,3.35%,314677.05,16.63%
2018-01-22,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.15,53505,3132,5.79,-,0,174,0股,6.22%,314677.05,17%
2018-01-22,股票,交通银行(601328.XSHG),多,8000股,8000股,6.67,53360,2880,6.31,-,0,-640,0股,5.71%,314677.05,16.96%
2018-01-22,股票,中信银行(601998.XSHG),多,7500股,7500股,7.12,53400,5625,6.37,-,0,-600,0股,11.77%,314677.05,16.97%
2018-01-22,,Cash,,,,,138.05,,,,,,,,0
2018-01-23,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.81,47863,-1840,21.61,-,0,-92,0股,-3.7%,319115.05,15%
2018-01-23,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.97,54352,3520,31.77,-,0,352,0股,6.92%,319115.05,17.03%
2018-01-23,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.6,51980,1356,4.48,-,0,-339,0股,2.68%,319115.05,16.29%
2018-01-23,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.16,53592,3219,5.79,-,0,87,0股,6.39%,319115.05,16.79%
2018-01-23,股票,交通银行(601328.XSHG),多,8000股,8000股,6.98,55840,5360,6.31,-,0,2480,0股,10.62%,319115.05,17.5%
2018-01-23,股票,中信银行(601998.XSHG),多,7500股,7500股,7.38,55350,7575,6.37,-,0,1950,0股,15.86%,319115.05,17.34%
2018-01-23,,Cash,,,,,138.05,,,,,,,,0
2018-01-24,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.21,48783,-920,21.61,-,0,920,0股,-1.85%,319432.05,15.27%
2018-01-24,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.96,54336,3504,31.77,-,0,-16,0股,6.89%,319432.05,17.01%
2018-01-24,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.5,50850,226,4.48,-,0,-1130,0股,0.45%,319432.05,15.92%
2018-01-24,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.15,53505,3132,5.79,-,0,-87,0股,6.22%,319432.05,16.75%
2018-01-24,股票,交通银行(601328.XSHG),多,8000股,8000股,7.04,56320,5840,6.31,-,0,480,0股,11.57%,319432.05,17.63%
2018-01-24,股票,中信银行(601998.XSHG),多,7500股,7500股,7.4,55500,7725,6.37,-,0,150,0股,16.17%,319432.05,17.37%
2018-01-24,,Cash,,,,,138.05,,,,,,,,0
2018-01-25,股票,普丽盛(300442.XSHE),多,2300股,2300股,21.08,48484,-1219,21.61,-,0,-299,0股,-2.45%,319999.05,15.15%
2018-01-25,股票,上汽集团(600104.XSHG),多,1600股,1600股,34.88,55808,4976,31.77,-,0,1472,0股,9.79%,319999.05,17.44%
2018-01-25,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.49,50737,113,4.48,-,0,-113,0股,0.22%,319999.05,15.86%
2018-01-25,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.26,54462,4089,5.79,-,0,957,0股,8.12%,319999.05,17.02%
2018-01-25,股票,交通银行(601328.XSHG),多,8000股,8000股,6.99,55920,5440,6.31,-,0,-400,0股,10.78%,319999.05,17.48%
2018-01-25,股票,中信银行(601998.XSHG),多,7500股,7500股,7.26,54450,6675,6.37,-,0,-1050,0股,13.97%,319999.05,17.02%
2018-01-25,,Cash,,,,,138.05,,,,,,,,0
2018-01-26,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.77,47771,-1932,21.61,-,0,-713,0股,-3.89%,320702.05,14.9%
2018-01-26,股票,上汽集团(600104.XSHG),多,1600股,1600股,34.98,55968,5136,31.77,-,0,160,0股,10.1%,320702.05,17.45%
2018-01-26,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.53,51189,565,4.48,-,0,452,0股,1.12%,320702.05,15.96%
2018-01-26,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.23,54201,3828,5.79,-,0,-261,0股,7.6%,320702.05,16.9%
2018-01-26,股票,交通银行(601328.XSHG),多,8000股,8000股,7.02,56160,5680,6.31,-,0,240,0股,11.25%,320702.05,17.51%
2018-01-26,股票,中信银行(601998.XSHG),多,7500股,7500股,7.37,55275,7500,6.37,-,0,825,0股,15.7%,320702.05,17.24%
2018-01-26,,Cash,,,,,138.05,,,,,,,,0
2018-01-29,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.52,47196,-2507,21.61,-,0,-575,0股,-5.04%,318212.05,14.83%
2018-01-29,股票,上汽集团(600104.XSHG),多,1600股,1600股,34.46,55136,4304,31.77,-,0,-832,0股,8.47%,318212.05,17.33%
2018-01-29,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.48,50624,0,4.48,-,0,-565,0股,0%,318212.05,15.91%
2018-01-29,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.34,55158,4785,5.79,-,0,957,0股,9.5%,318212.05,17.33%
2018-01-29,股票,交通银行(601328.XSHG),多,8000股,8000股,6.92,55360,4880,6.31,-,0,-800,0股,9.67%,318212.05,17.4%
2018-01-29,股票,中信银行(601998.XSHG),多,7500股,7500股,7.28,54600,6825,6.37,-,0,-675,0股,14.29%,318212.05,17.16%
2018-01-29,,Cash,,,,,138.05,,,,,,,,0
2018-01-30,股票,普丽盛(300442.XSHE),多,2300股,2300股,20.56,47288,-2415,21.61,-,0,92,0股,-4.86%,314764.05,15.02%
2018-01-30,股票,上汽集团(600104.XSHG),多,1600股,1600股,34.42,55072,4240,31.77,-,0,-64,0股,8.34%,314764.05,17.5%
2018-01-30,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.44,50172,-452,4.48,-,0,-452,0股,-0.89%,314764.05,15.94%
2018-01-30,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.27,54549,4176,5.79,-,0,-609,0股,8.29%,314764.05,17.33%
2018-01-30,股票,交通银行(601328.XSHG),多,8000股,8000股,6.74,53920,3440,6.31,-,0,-1440,0股,6.81%,314764.05,17.13%
2018-01-30,股票,中信银行(601998.XSHG),多,7500股,7500股,7.15,53625,5850,6.37,-,0,-975,0股,12.24%,314764.05,17.04%
2018-01-30,,Cash,,,,,138.05,,,,,,,,0
2018-01-31,股票,普丽盛(300442.XSHE),多,2300股,2300股,19.43,44689,-5014,21.61,-,0,-2599,0股,-10.09%,310675.05,14.38%
2018-01-31,股票,上汽集团(600104.XSHG),多,1600股,1600股,34.39,55024,4192,31.77,-,0,-48,0股,8.25%,310675.05,17.71%
2018-01-31,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.33,48929,-1695,4.48,-,0,-1243,0股,-3.35%,310675.05,15.75%
2018-01-31,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.15,53505,3132,5.79,-,0,-1044,0股,6.22%,310675.05,17.22%
2018-01-31,股票,交通银行(601328.XSHG),多,8000股,8000股,6.78,54240,3760,6.31,-,0,320,0股,7.45%,310675.05,17.46%
2018-01-31,股票,中信银行(601998.XSHG),多,7500股,7500股,7.22,54150,6375,6.37,-,0,525,0股,13.34%,310675.05,17.43%
2018-01-31,,Cash,,,,,138.05,,,,,,,,0
2018-02-01,股票,普丽盛(300442.XSHE),多,2300股,2300股,18.3,42090,-7613,21.61,-,0,-2599,0股,-15.32%,306409.05,13.74%
2018-02-01,股票,上汽集团(600104.XSHG),多,1600股,1600股,34.87,55792,4960,31.77,-,0,768,0股,9.76%,306409.05,18.21%
2018-02-01,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.13,46669,-3955,4.48,-,0,-2260,0股,-7.81%,306409.05,15.23%
2018-02-01,股票,中煤能源(601898.XSHG),多,8700股,8700股,5.9,51330,957,5.79,-,0,-2175,0股,1.9%,306409.05,16.75%
2018-02-01,股票,交通银行(601328.XSHG),多,8000股,8000股,6.88,55040,4560,6.31,-,0,800,0股,9.03%,306409.05,17.96%
2018-02-01,股票,中信银行(601998.XSHG),多,7500股,7500股,7.38,55350,7575,6.37,-,0,1200,0股,15.86%,306409.05,18.06%
2018-02-01,,Cash,,,,,138.05,,,,,,,,0
2018-02-02,股票,普丽盛(300442.XSHE),多,2300股,2300股,18.22,41906,-7797,21.61,-,0,-184,0股,-15.69%,307995.05,13.61%
2018-02-02,股票,上汽集团(600104.XSHG),多,1600股,1600股,34.7,55520,4688,31.77,-,0,-272,0股,9.22%,307995.05,18.03%
2018-02-02,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.12,46556,-4068,4.48,-,0,-113,0股,-8.04%,307995.05,15.12%
2018-02-02,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.15,53505,3132,5.79,-,0,2175,0股,6.22%,307995.05,17.37%
2018-02-02,股票,交通银行(601328.XSHG),多,8000股,8000股,6.84,54720,4240,6.31,-,0,-320,0股,8.4%,307995.05,17.77%
2018-02-02,股票,中信银行(601998.XSHG),多,7500股,7500股,7.42,55650,7875,6.37,-,0,300,0股,16.48%,307995.05,18.07%
2018-02-02,,Cash,,,,,138.05,,,,,,,,0
2018-02-05,股票,普丽盛(300442.XSHE),多,2300股,2300股,18.13,41699,-8004,21.61,-,0,-207,0股,-16.1%,317046.05,13.15%
2018-02-05,股票,上汽集团(600104.XSHG),多,1600股,1600股,34.15,54640,3808,31.77,-,0,-880,0股,7.49%,317046.05,17.23%
2018-02-05,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.16,47008,-3616,4.48,-,0,452,0股,-7.14%,317046.05,14.83%
2018-02-05,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.33,55071,4698,5.79,-,0,1566,0股,9.33%,317046.05,17.37%
2018-02-05,股票,交通银行(601328.XSHG),多,8000股,8000股,7.18,57440,6960,6.31,-,0,2720,0股,13.79%,317046.05,18.12%
2018-02-05,股票,中信银行(601998.XSHG),多,7500股,7500股,8.14,61050,13275,6.37,-,0,5400,0股,27.79%,317046.05,19.26%
2018-02-05,,Cash,,,,,138.05,,,,,,,,0
2018-02-06,股票,普丽盛(300442.XSHE),多,2300股,2300股,16.64,38272,-11431,21.61,-,0,-3427,0股,-23%,307809.05,12.43%
2018-02-06,股票,上汽集团(600104.XSHG),多,1600股,1600股,34.15,54640,3808,31.77,-,0,0,0股,7.49%,307809.05,17.75%
2018-02-06,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.94,44522,-6102,4.48,-,0,-2486,0股,-12.05%,307809.05,14.46%
2018-02-06,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.06,52722,2349,5.79,-,0,-2349,0股,4.66%,307809.05,17.13%
2018-02-06,股票,交通银行(601328.XSHG),多,8000股,8000股,7.18,57440,6960,6.31,-,0,0,0股,13.79%,307809.05,18.66%
2018-02-06,股票,中信银行(601998.XSHG),多,7500股,7500股,8.01,60075,12300,6.37,-,0,-975,0股,25.75%,307809.05,19.52%
2018-02-06,,Cash,,,,,138.05,,,,,,,,0
2018-02-07,股票,普丽盛(300442.XSHE),多,2300股,2300股,17.07,39261,-10442,21.61,-,0,989,0股,-21.01%,307037.05,12.79%
2018-02-07,股票,上汽集团(600104.XSHG),多,1600股,1600股,34.03,54448,3616,31.77,-,0,-192,0股,7.11%,307037.05,17.73%
2018-02-07,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.95,44635,-5989,4.48,-,0,113,0股,-11.83%,307037.05,14.54%
2018-02-07,股票,中煤能源(601898.XSHG),多,8700股,8700股,6.1,53070,2697,5.79,-,0,348,0股,5.35%,307037.05,17.28%
2018-02-07,股票,交通银行(601328.XSHG),多,8000股,8000股,7.17,57360,6880,6.31,-,0,-80,0股,13.63%,307037.05,18.68%
2018-02-07,股票,中信银行(601998.XSHG),多,7500股,7500股,7.75,58125,10350,6.37,-,0,-1950,0股,21.66%,307037.05,18.93%
2018-02-07,,Cash,,,,,138.05,,,,,,,,0
2018-02-08,股票,普丽盛(300442.XSHE),多,2300股,2300股,17.27,39721,-9982,21.61,-,0,460,0股,-20.08%,298323.05,13.31%
2018-02-08,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.83,52528,1696,31.77,-,0,-1920,0股,3.34%,298323.05,17.61%
2018-02-08,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.03,45539,-5085,4.48,-,0,904,0股,-10.04%,298323.05,15.26%
2018-02-08,股票,中煤能源(601898.XSHG),多,8700股,8700股,5.86,50982,609,5.79,-,0,-2088,0股,1.21%,298323.05,17.09%
2018-02-08,股票,交通银行(601328.XSHG),多,8000股,8000股,6.88,55040,4560,6.31,-,0,-2320,0股,9.03%,298323.05,18.45%
2018-02-08,股票,中信银行(601998.XSHG),多,7500股,7500股,7.25,54375,6600,6.37,-,0,-3750,0股,13.81%,298323.05,18.23%
2018-02-08,,Cash,,,,,138.05,,,,,,,,0
2018-02-09,股票,普丽盛(300442.XSHE),多,2300股,2300股,17.22,39606,-10097,21.61,-,0,-115,0股,-20.31%,286360.05,13.83%
2018-02-09,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.01,51216,384,31.77,-,0,-1312,0股,0.76%,286360.05,17.89%
2018-02-09,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.85,43505,-7119,4.48,-,0,-2034,0股,-14.06%,286360.05,15.19%
2018-02-09,股票,中煤能源(601898.XSHG),多,8700股,8700股,5.35,46545,-3828,5.79,-,0,-4437,0股,-7.6%,286360.05,16.25%
2018-02-09,股票,交通银行(601328.XSHG),多,8000股,8000股,6.7,53600,3120,6.31,-,0,-1440,0股,6.18%,286360.05,18.72%
2018-02-09,股票,中信银行(601998.XSHG),多,7500股,7500股,6.9,51750,3975,6.37,-,0,-2625,0股,8.32%,286360.05,18.07%
2018-02-09,,Cash,,,,,138.05,,,,,,,,0
2018-02-12,股票,普丽盛(300442.XSHE),多,2300股,2300股,17.73,40779,-8924,21.61,-,0,1173,0股,-17.95%,286244.05,14.25%
2018-02-12,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.32,51712,880,31.77,-,0,496,0股,1.73%,286244.05,18.07%
2018-02-12,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.9,44070,-6554,4.48,-,0,565,0股,-12.95%,286244.05,15.4%
2018-02-12,股票,中煤能源(601898.XSHG),多,8700股,8700股,5.4,46980,-3393,5.79,-,0,435,0股,-6.74%,286244.05,16.41%
2018-02-12,股票,交通银行(601328.XSHG),多,8000股,8000股,6.53,52240,1760,6.31,-,0,-1360,0股,3.49%,286244.05,18.25%
2018-02-12,股票,中信银行(601998.XSHG),多,7500股,7500股,6.71,50325,2550,6.37,-,0,-1425,0股,5.34%,286244.05,17.58%
2018-02-12,,Cash,,,,,138.05,,,,,,,,0
2018-02-13,股票,普丽盛(300442.XSHE),多,2300股,2300股,17.55,40365,-9338,21.61,-,0,-414,0股,-18.79%,287980.05,14.02%
2018-02-13,股票,上汽集团(600104.XSHG),多,1600股,1600股,32.92,52672,1840,31.77,-,0,960,0股,3.62%,287980.05,18.29%
2018-02-13,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.91,44183,-6441,4.48,-,0,113,0股,-12.72%,287980.05,15.34%
2018-02-13,股票,中煤能源(601898.XSHG),多,8700股,8700股,5.41,47067,-3306,5.79,-,0,87,0股,-6.56%,287980.05,16.34%
2018-02-13,股票,交通银行(601328.XSHG),多,8000股,8000股,6.56,52480,2000,6.31,-,0,240,0股,3.96%,287980.05,18.22%
2018-02-13,股票,中信银行(601998.XSHG),多,7500股,7500股,6.81,51075,3300,6.37,-,0,750,0股,6.91%,287980.05,17.74%
2018-02-13,,Cash,,,,,138.05,,,,,,,,0
2018-02-14,股票,普丽盛(300442.XSHE),多,2300股,2300股,17.84,41032,-8671,21.61,-,0,667,0股,-17.45%,288880.05,14.2%
2018-02-14,股票,上汽集团(600104.XSHG),多,1600股,1600股,33.21,53136,2304,31.77,-,0,464,0股,4.53%,288880.05,18.39%
