pnl_pct,entry_date,exit_date,symbol,reason,regime
-0.0299,2021-09-02,2021-09-03,000157,stop_loss,BEAR
-0.0307,2021-11-24,2021-11-29,000157,stop_loss,BEAR
0.0108,2022-01-07,2022-01-17,000157,time_stop,BULL
0.0041,2018-05-04,2018-05-14,000166,time_stop,SIDEWAYS
0.0114,2018-07-23,2018-07-31,000166,time_stop,BEAR
0.0068,2018-08-14,2018-08-22,000166,time_stop,BEAR
0.0062,2019-06-12,2019-06-20,000166,time_stop,SIDEWAYS
0.0165,2019-08-20,2019-08-28,000166,time_stop,BEAR
-0.0185,2019-11-06,2019-11-11,000166,stop_loss,BULL
0.0084,2019-11-27,2019-12-05,000166,time_stop,BEAR
0.0113,2020-05-07,2020-05-15,000166,time_stop,SIDEWAYS
-0.0145,2021-03-08,2021-03-09,000166,stop_loss,BEAR
-0.0084,2021-06-28,2021-07-01,000166,stop_loss,BEAR
0.0029,2018-06-01,2018-06-28,000301,time_stop,CHOPPY_BEAR
0.0408,2018-07-02,2018-07-05,000301,stop_loss,CHOPPY_BEAR
0.0705,2019-06-04,2019-06-12,000301,time_stop,BEAR
0.0399,2019-09-03,2019-09-11,000301,time_stop,BEAR
0.0782,2020-08-31,2020-09-08,000301,time_stop,BULL
0.0157,2020-10-12,2020-10-20,000301,time_stop,SIDEWAYS
0.0558,2021-03-11,2021-03-15,000301,crash_clear,BEAR
0.0161,2021-03-31,2021-04-08,000301,time_stop,BEAR
0.0741,2021-08-25,2021-09-02,000301,time_stop,BEAR
0.1003,2021-09-30,2021-10-08,000301,time_stop,BEAR
-0.0851,2021-11-05,2021-11-08,000301,stop_loss,BULL
-0.0198,2021-11-09,2021-11-16,000301,stop_loss,BULL
-0.0414,2021-12-29,2021-12-30,000301,stop_loss,BULL
0.0524,2021-12-31,2022-01-10,000301,time_stop,BULL
-0.0163,2018-12-14,2018-12-18,000333,stop_loss,BEAR
-0.0280,2019-05-23,2019-05-24,000333,stop_loss,BEAR
0.0199,2019-06-12,2019-06-20,000333,time_stop,SIDEWAYS
-0.0507,2021-04-26,2021-04-27,000333,stop_loss,BULL
0.0197,2021-05-21,2021-05-31,000333,time_stop,BEAR
0.1311,2021-07-28,2021-08-05,000333,time_stop,BEAR
-0.0219,2021-10-11,2021-10-12,000333,stop_loss,SIDEWAYS
0.0009,2021-12-08,2021-12-16,000333,time_stop,BEAR
-0.0048,2022-01-20,2022-01-28,000333,stop_loss,BEAR
-0.0187,2018-03-13,2018-03-19,000338,stop_loss,BEAR
0.0202,2018-05-15,2018-05-23,000338,time_stop,BEAR
-0.0105,2018-11-19,2018-11-23,000338,stop_loss,BEAR
0.0642,2019-01-10,2019-01-18,000338,time_stop,BEAR
-0.0119,2019-05-28,2019-06-03,000338,stop_loss,BEAR
-0.0421,2019-08-07,2019-08-15,000338,stop_loss,BEAR
0.0482,2020-05-06,2020-05-14,000338,time_stop,SIDEWAYS
0.0029,2020-06-04,2020-06-11,000338,stop_loss,BULL
-0.0081,2020-10-12,2020-10-20,000338,time_stop,SIDEWAYS
0.1159,2021-01-05,2021-01-13,000338,time_stop,BULL
-0.0505,2021-04-07,2021-04-08,000338,stop_loss,BEAR
0.0033,2021-05-28,2021-05-31,000338,stop_loss,BULL
0.0028,2021-07-21,2021-07-28,000338,stop_loss,BEAR
0.1000,2021-08-03,2021-08-11,000338,time_stop,BEAR
0.0619,2021-11-03,2021-11-11,000338,time_stop,BULL
-0.0207,2021-11-22,2021-11-25,000338,stop_loss,BEAR
0.1591,2018-03-26,2018-04-03,000408,time_stop,BULL
-0.0155,2018-05-24,2018-05-29,000408,stop_loss,BULL
0.1381,2018-06-20,2018-06-28,000408,time_stop,CHOPPY_BEAR
-0.0167,2018-08-07,2018-08-15,000408,stop_loss,BULL
-0.0250,2018-08-30,2018-08-31,000408,stop_loss,BEAR
-0.0188,2018-11-16,2018-11-26,000408,stop_loss,BEAR
0.0245,2019-06-10,2019-06-18,000408,time_stop,BEAR
-0.0208,2019-09-12,2019-09-18,000408,stop_loss,BULL
0.0102,2019-10-25,2019-11-04,000408,time_stop,BEAR
-0.0127,2019-11-27,2019-12-04,000408,stop_loss,BEAR
-0.0111,2019-12-16,2019-12-24,000408,time_stop,BEAR
0.0625,2020-01-07,2020-01-15,000408,time_stop,BULL
-0.0281,2020-04-08,2020-04-13,000408,stop_loss,BEAR
-0.0200,2020-04-28,2020-04-29,000408,stop_loss,BULL
-0.0512,2020-05-07,2020-05-08,000408,stop_loss,SIDEWAYS
0.0108,2020-05-11,2020-05-12,000408,stop_loss,BULL
0.2745,2020-05-13,2020-05-21,000408,take_profit,BULL
-0.0199,2020-09-16,2020-09-17,000408,stop_loss,BEAR
0.0185,2020-09-18,2020-09-28,000408,time_stop,BEAR
0.0000,2021-01-04,2021-01-08,000408,stop_loss,BULL
0.1880,2021-04-29,2021-05-07,000408,time_stop,BULL
0.0859,2021-08-20,2021-08-30,000408,time_stop,BEAR
-0.0514,2021-09-29,2021-09-30,000408,stop_loss,BEAR
0.0328,2021-11-17,2021-11-25,000408,time_stop,BEAR
-0.0078,2021-11-29,2021-12-02,000408,stop_loss,BEAR
0.1625,2021-12-06,2021-12-14,000408,time_stop,BEAR
-0.0234,2018-06-13,2018-06-19,000425,stop_loss,CHOPPY_BEAR
-0.0302,2018-07-04,2018-07-05,000425,stop_loss,BEAR
-0.0204,2018-12-14,2018-12-21,000425,stop_loss,BEAR
-0.0121,2019-01-15,2019-01-23,000425,time_stop,BEAR
-0.0045,2019-08-07,2019-08-09,000425,stop_loss,BEAR
0.0607,2019-09-03,2019-09-11,000425,time_stop,BEAR
0.0222,2019-11-27,2019-12-05,000425,time_stop,BEAR
0.0211,2020-02-21,2020-03-02,000425,time_stop,BEAR
0.0235,2020-04-08,2020-04-16,000425,time_stop,BEAR
-0.0371,2020-06-11,2020-06-12,000425,stop_loss,BULL
0.0704,2020-07-02,2020-07-10,000425,time_stop,BULL
0.0423,2020-11-03,2020-11-11,000425,time_stop,BULL
0.0870,2020-11-24,2020-12-02,000425,time_stop,BULL
0.0707,2021-01-05,2021-01-13,000425,time_stop,BULL
-0.0104,2021-03-29,2021-04-02,000425,stop_loss,BEAR
-0.0577,2021-04-22,2021-04-23,000425,stop_loss,BULL
-0.0420,2021-05-07,2021-05-10,000425,stop_loss,SIDEWAYS
-0.0094,2021-07-23,2021-07-26,000425,stop_loss,BEAR
0.0774,2021-08-03,2021-08-11,000425,time_stop,BEAR
-0.0182,2021-11-24,2021-11-30,000425,stop_loss,BEAR
0.0165,2021-12-03,2021-12-13,000425,time_stop,BEAR
0.1020,2018-05-03,2018-05-11,000538,time_stop,SIDEWAYS
-0.0068,2018-07-16,2018-07-19,000538,stop_loss,BEAR
-0.0213,2018-08-20,2018-08-21,000538,stop_loss,BEAR
-0.0199,2018-08-22,2018-08-24,000538,stop_loss,BEAR
0.0455,2019-04-09,2019-04-17,000538,time_stop,BULL
0.0750,2019-06-20,2019-06-28,000538,time_stop,BEAR
0.0400,2019-08-20,2019-08-28,000538,time_stop,BEAR
-0.0045,2019-09-11,2019-09-19,000538,time_stop,BULL
-0.0192,2020-08-13,2020-08-20,000538,stop_loss,BEAR
0.0113,2021-05-18,2021-05-26,000538,time_stop,BEAR
-0.0227,2021-06-10,2021-06-15,000538,stop_loss,BULL
0.0172,2021-06-16,2021-06-24,000538,time_stop,BULL
-0.0053,2021-06-29,2021-07-06,000538,stop_loss,BEAR
-0.0165,2021-11-17,2021-11-23,000538,stop_loss,BEAR
-0.0159,2021-11-26,2021-11-29,000538,stop_loss,BEAR
-0.0095,2018-03-15,2018-03-22,000568,stop_loss,BEAR
0.0150,2018-04-04,2018-04-12,000568,time_stop,BEAR
0.0307,2018-05-08,2018-05-16,000568,time_stop,BEAR
0.0582,2018-07-05,2018-07-13,000568,time_stop,BEAR
0.0168,2019-01-16,2019-01-24,000568,time_stop,BEAR
0.0651,2019-08-15,2019-08-23,000568,time_stop,BEAR
-0.0081,2019-11-01,2019-11-06,000568,stop_loss,BEAR
0.0084,2019-11-21,2019-11-22,000568,stop_loss,BEAR
-0.0110,2019-12-31,2020-01-08,000568,time_stop,BULL
0.0191,2020-04-23,2020-05-06,000568,time_stop,BULL
-0.0216,2020-06-24,2020-06-29,000568,stop_loss,BULL
0.0750,2020-08-17,2020-08-25,000568,time_stop,BEAR
-0.0269,2021-07-28,2021-07-30,000568,stop_loss,BEAR
0.0646,2021-08-02,2021-08-10,000568,time_stop,CHOPPY_BEAR
0.0852,2021-08-23,2021-08-31,000568,time_stop,BEAR
-0.0103,2021-09-02,2021-09-10,000568,time_stop,BEAR
0.0511,2018-04-25,2018-05-03,000596,time_stop,BEAR
0.0198,2018-10-31,2018-11-01,000596,crash_clear,BEAR
0.1029,2019-06-20,2019-06-28,000596,time_stop,BEAR
0.0114,2019-08-21,2019-08-29,000596,time_stop,BEAR
-0.0017,2019-10-29,2019-10-31,000596,stop_loss,BEAR
0.0729,2019-12-04,2019-12-12,000596,time_stop,BEAR
-0.0282,2020-02-21,2020-02-25,000596,stop_loss,BEAR
0.0720,2020-06-24,2020-07-02,000596,time_stop,BULL
-0.0059,2021-05-07,2021-05-10,000596,stop_loss,SIDEWAYS
0.0029,2021-07-01,2021-07-02,000596,stop_loss,BEAR
-0.0559,2021-07-22,2021-07-23,000596,stop_loss,BEAR
0.0690,2021-11-17,2021-11-25,000596,time_stop,BEAR
-0.0222,2022-01-27,2022-01-28,000596,stop_loss,BEAR
0.0216,2018-03-06,2018-03-14,000617,time_stop,BEAR
-0.0413,2018-04-10,2018-04-11,000617,stop_loss,SIDEWAYS
-0.0111,2018-05-21,2018-05-23,000617,stop_loss,BULL
0.0085,2018-06-20,2018-06-28,000617,time_stop,CHOPPY_BEAR
0.0065,2018-07-13,2018-07-23,000617,time_stop,BEAR
-0.0180,2018-08-10,2018-08-13,000617,stop_loss,BEAR
-0.0047,2018-10-31,2018-11-01,000617,crash_clear,BEAR
-0.0505,2019-01-02,2019-01-03,000617,stop_loss,BEAR
-0.0228,2019-05-29,2019-06-03,000617,stop_loss,BEAR
0.0377,2019-06-20,2019-06-28,000617,time_stop,BEAR
0.0435,2019-12-16,2019-12-24,000617,time_stop,BEAR
-0.0153,2020-04-03,2020-04-07,000617,stop_loss,BEAR
0.0402,2020-07-28,2020-08-05,000617,time_stop,BULL
0.0071,2020-10-13,2020-10-21,000617,time_stop,SIDEWAYS
-0.0148,2021-05-17,2021-05-25,000617,time_stop,BEAR
0.0033,2021-05-26,2021-06-03,000617,time_stop,BULL
-0.0442,2021-06-28,2021-07-06,000617,stop_loss,BEAR
-0.0119,2021-12-07,2021-12-15,000617,time_stop,BEAR
-0.0185,2018-07-12,2018-07-17,000625,stop_loss,BEAR
-0.0062,2018-12-14,2018-12-24,000625,time_stop,BEAR
0.0140,2019-03-11,2019-03-19,000625,time_stop,BULL
-0.0136,2019-03-25,2019-03-26,000625,stop_loss,BULL
0.0475,2019-05-24,2019-06-03,000625,time_stop,BEAR
0.1079,2019-08-15,2019-08-23,000625,time_stop,BEAR
0.0448,2019-12-12,2019-12-20,000625,time_stop,BEAR
-0.0446,2020-03-03,2020-03-04,000625,stop_loss,BEAR
-0.0227,2020-04-23,2020-04-24,000625,stop_loss,BULL
0.0910,2020-05-06,2020-05-14,000625,time_stop,SIDEWAYS
-0.0455,2020-06-04,2020-06-05,000625,stop_loss,BULL
-0.0137,2020-07-17,2020-07-20,000625,stop_loss,BULL
-0.0297,2021-01-20,2021-01-21,000625,stop_loss,BULL
-0.0172,2021-04-07,2021-04-08,000625,stop_loss,BEAR
-0.0405,2021-09-17,2021-09-22,000625,stop_loss,BULL
-0.0109,2021-09-23,2021-09-28,000625,stop_loss,SIDEWAYS
0.0409,2021-10-14,2021-10-22,000625,time_stop,BEAR
0.0107,2021-12-21,2021-12-24,000625,stop_loss,BULL
-0.0039,2021-12-27,2022-01-04,000625,time_stop,BULL
-0.0153,2018-04-20,2018-05-02,000630,time_stop,BEAR
0.0279,2018-07-24,2018-08-01,000630,time_stop,BEAR
-0.0093,2018-08-10,2018-08-17,000630,stop_loss,BEAR
0.0000,2019-01-08,2019-01-16,000630,time_stop,BEAR
-0.0044,2019-08-28,2019-09-05,000630,time_stop,BEAR
-0.0091,2019-10-25,2019-11-04,000630,time_stop,BEAR
-0.0183,2019-11-26,2019-11-28,000630,stop_loss,BEAR
0.0536,2019-12-25,2020-01-02,000630,time_stop,BULL
-0.0103,2020-06-09,2020-06-17,000630,time_stop,BULL
0.1179,2020-06-30,2020-07-08,000630,time_stop,SIDEWAYS
-0.0084,2020-09-21,2020-09-23,000630,stop_loss,BEAR
0.0575,2020-11-04,2020-11-12,000630,time_stop,BULL
-0.0207,2021-04-09,2021-04-12,000630,stop_loss,BEAR
-0.0266,2021-05-07,2021-05-17,000630,time_stop,SIDEWAYS
-0.0178,2021-06-28,2021-06-29,000630,stop_loss,BEAR
0.0932,2021-07-05,2021-07-13,000630,time_stop,BEAR
0.2120,2021-10-13,2021-10-21,000630,time_stop,BEAR
-0.0476,2021-11-24,2021-11-29,000630,stop_loss,BEAR
-0.0219,2018-03-16,2018-03-20,000651,stop_loss,BEAR
-0.0229,2018-12-14,2018-12-18,000651,stop_loss,BEAR
0.0348,2019-06-21,2019-07-01,000651,time_stop,BEAR
0.0668,2019-10-30,2019-11-07,000651,time_stop,BEAR
0.0168,2019-12-04,2019-12-12,000651,time_stop,BEAR
-0.0109,2020-04-13,2020-04-21,000651,stop_loss,BEAR
-0.0422,2020-07-30,2020-07-31,000651,stop_loss,BULL
-0.0156,2021-02-18,2021-02-22,000651,stop_loss,SIDEWAYS
